Date,TimeLocal,MaxT,LikelyT,MinT,POPR,POPZ,WindLo,WindHi,ChanceLight,
11/22,0900,33,31,28,30,5,5,10,0
11/22,1200,39,36,34,30,0,5,10,0
11/22,1500,40,39,35,35,0,5,15,0

